.com,commercial,Verisign,"This is an open TLD; any person or entity is permitted to register. Though originally intended for use by for-profit business entities, for a number of reasons it became the main TLD for domain names and is currently used by all types of entities including nonprofits, schools, and private individuals. Domain name registrations may be successfully challenged if the holder cannot prove an outside relation justifying reservation of the name,[7] to prevent ""squatting"". It was originally administered by the United States Department of Defense.",Yes,Yes,Yes,Yes
.org,organization,Public Interest Registry,"This is an open TLD; any person or entity is permitted to register. Originally created as a miscellaneous category as stated in RFC 920 (October 1984) ""...any other domains meeting the second level requirements,"" and clarified in RFC 1591 (March 1994), ""This domain is intended as the miscellaneous TLD for organizations that didn't fit anywhere else. Some non-government organizations may fit here.""[8][9] While mainly non-profits have used this domain, it was never restricted from miscellaneous use.",Yes,Yes,Yes,Yes
.net,network,Verisign,"This is an open TLD; any person or entity is permitted to register. According to RFC 1591 (March 1994) ""This domain is intended to hold only the computers of network providers.""[9]",Yes,Yes,Yes,Yes
.int,international,Internet Assigned Numbers Authority,"The .int TLD is strictly limited to organizations, offices, and programs endorsed by a treaty between two or more nations. However, a few grandfathered domains do not meet these criteria.",No,Yes,Yes,Yes
.edu,education,Educause (via Verisign),"The .edu TLD is limited to specific higher educational institutions such as, but not limited to, trade schools and universities. In the U.S., its use was restricted in 2001 to post-secondary institutions accredited by an agency on the list of nationally recognized accrediting agencies. This domain is therefore almost exclusively used by American colleges and universities. Some institutions, such as the Exploratorium, that do not meet the current registration criteria have grandfathered domain names.",No,Yes,Yes,Yes
.gov,U.S. national and state government agencies,Cybersecurity and Infrastructure Security Agency (via Verisign),"The .gov TLD is limited to United States governmental entities and agencies as well as qualifying state, county and local municipal government agencies, and tribal governments.",No,Yes,Yes,Yes
.mil,U.S. military,United States Department of Defense,"The .mil TLD is limited to divisions, services and agencies of the United States Department of Defense.",No,Yes,Yes,Yes
.arpa,,,,,,,
.academy,"Schools, military academies, online learning websites, PTAs and student portals, or any site created to be educational on a particular topic.",—,Identity Digital[ID 1],Yes,Yes,,
.accountant,"Certified Public Accountants, tax advisors, corporate accountants, personal and business accountants, and professional CPA organizations.",—,Global Registry Services Ltd[10],Un­known,Yes,,
